,est,y_sample,date
3988,88.65698766477635,86.553,2016-06-27
3989,86.95849081392761,88.0106,2016-06-28
3990,87.93138410677071,88.7723,2016-06-29
3991,88.64084005983813,89.9008,2016-06-30
3992,89.72262803475685,90.1735,2016-07-01
3993,90.14791337248178,89.3271,2016-07-05
3994,89.5766142793972,89.8349,2016-07-06
3995,89.83585650482021,90.2205,2016-07-07
3996,90.16525600295743,90.9164,2016-07-08
3997,90.80929742449074,91.1985,2016-07-11
3998,91.14043966089335,91.6123,2016-07-12
3999,91.55368555261401,91.0951,2016-07-13
4000,91.1858722801567,92.9006,2016-07-14
4001,92.70417081914127,92.8912,2016-07-15
4002,92.8934904880373,93.8786,2016-07-18
4003,93.74382469503509,93.9162,2016-07-19
4004,93.9013811107175,94.0009,2016-07-20
4005,93.98931249921019,93.5024,2016-07-21
4006,93.66828964430695,92.7784,2016-07-22
4007,93.01879493868131,91.537,2016-07-25
4008,91.94548484241746,90.90700000000001,2016-07-26
4009,91.10702544273536,96.8126,2016-07-27
4010,96.05982240677932,98.1197,2016-07-28
4011,97.91984385973237,97.9975,2016-07-29
4012,98.00239935947768,99.7278,2016-08-01
4013,99.50061687286805,98.2514,2016-08-02
4014,98.4643973337571,99.4833,2016-08-03
4015,99.44534473649709,100.0945,2016-08-04
4016,99.99419307290326,101.6167,2016-08-05
4017,101.4050674733562,102.4582,2016-08-08
4018,102.30582290883572,102.8742,2016-08-09
4019,102.806183487401,102.1083,2016-08-10
4020,102.28156428226734,102.0422,2016-08-11
4021,102.11664709471873,102.2785,2016-08-12
4022,102.25473191104734,103.5076,2016-08-15
4023,103.34563438574594,103.4131,2016-08-16
4024,103.4226681253532,103.2618,2016-08-17
4025,103.31178287297831,103.1294,2016-08-18
4026,103.17308917662443,103.3942,2016-08-19
4027,103.37189486852773,102.5905,2016-08-22
4028,102.82581954424597,102.912,2016-08-23
4029,102.94498860165145,102.1367,2016-08-24
4030,102.34456939136648,101.7018,2016-08-25
4031,101.83986593638906,101.1062,2016-08-26
4032,101.30449348115653,100.9927,2016-08-29
4033,101.05627669036541,100.2175,2016-08-30
4034,100.5183780447708,100.31200000000001,2016-08-31
4035,100.36907428679542,100.9076,2016-09-01
4036,100.82217002941331,101.8531,2016-09-02
4037,101.71239936727275,101.8247,2016-09-06
4038,101.82852660979177,102.4487,2016-09-07
4039,102.37187918885947,99.7636,2016-09-08
4040,100.61757975512755,97.50399999999999,2016-09-09
