,est,y_sample,date
3295,133.01102632777238,133.1642,2017-03-07
3296,133.17476292992004,132.6679,2017-03-08
3297,132.74805371176646,132.3625,2017-03-09
3298,132.44889380421978,132.8015,2017-03-10
3299,132.78144085586203,132.8588,2017-03-13
3300,132.84594478651465,132.6583,2017-03-14
3301,132.69266524430142,134.0614,2017-03-15
3302,133.96609018343747,134.2809,2017-03-16
3303,134.23275292843923,133.6128,2017-03-17
3304,133.72057169936244,135.0158,2017-03-20
3305,134.92040321445347,133.4696,2017-03-21
3306,133.63381886181213,134.9776,2017-03-22
3307,134.94382939093722,134.5004,2017-03-23
3308,134.48986598348003,134.2332,2017-03-24
3309,134.31213879011779,134.4622,2017-03-27
3310,134.46422685135838,137.2492,2017-03-28
3311,137.02583057787677,137.5546,2017-03-29
3312,137.48632421204675,137.3733,2017-03-30
3313,137.38452855087974,137.1156,2017-03-31
3314,137.16803985564502,137.1538,2017-04-03
3315,137.17392896320493,138.175,2017-04-04
3316,138.09379484502418,137.4592,2017-04-05
3317,137.52390556791386,137.1156,2017-04-06
3318,137.22521200436304,136.8102,2017-04-07
3319,136.88412354254706,136.6479,2017-04-10
3320,136.69741091641018,135.1781,2017-04-11
3321,135.4928210893701,135.3403,2017-04-12
3322,135.45910220359383,134.6245,2017-04-13
3323,134.7507196315226,135.369,2017-04-17
3324,135.35311089421705,134.7677,2017-04-18
3325,134.84291534947755,134.2713,2017-04-19
3326,134.39593572518422,135.9512,2017-04-20
3327,135.83566298625038,135.7889,2017-04-21
3328,135.7842675779355,137.0965,2017-04-24
3329,137.00512221716284,137.946,2017-04-25
3330,137.82459036041487,137.1347,2017-04-26
3331,137.22325680275097,137.2397,2017-04-27
3332,137.30097175991594,137.106,2017-04-28
3333,137.12257069031898,139.9026,2017-05-01
3334,139.6901496839808,140.7902,2017-05-02
3335,140.6944970034223,140.3607,2017-05-03
3336,140.36909973799104,139.8549,2017-05-04
3337,139.9677837222363,142.1742,2017-05-05
3338,141.98206097653983,146.0397,2017-05-08
3339,145.60887034319674,146.975,2017-05-09
3340,146.8728176748485,146.2783,2017-05-10
3341,146.3455201662838,147.5381,2017-05-11
3342,147.45964766393274,149.5986,2017-05-12
3343,149.37109339879342,149.2152,2017-05-15
3344,149.2463447136119,148.9948,2017-05-16
