date,1. open,2. high,3. low,4. close,5. volume,SMA,EMA,MACD_Signal,MACD,MACD_Hist
2000-08-03,68.19,70.37,68.12,70.25,27271700.0,74.0615,72.604,-1.8633,-2.3875,-0.5241
2000-08-04,69.44,69.87,68.19,69.12,19053700.0,73.4175,72.2722,-1.9702,-2.3978,-0.4276
2000-08-07,70.19,71.12,69.75,70.0,26370900.0,72.9455,72.0558,-2.0379,-2.3084,-0.2706
2000-08-08,70.06,74.69,70.0,74.12,69019400.0,72.6955,72.2524,-2.007,-1.8834,0.1236
2000-08-09,73.75,74.87,73.12,74.25,31972800.0,72.3925,72.4427,-1.9093,-1.5186,0.3907
2000-08-10,73.81,74.06,71.75,72.62,24493000.0,72.0265,72.4596,-1.7965,-1.3455,0.451
2000-08-11,72.44,72.69,71.62,72.44,17814800.0,71.7015,72.4577,-1.679,-1.2089,0.4701
2000-08-14,72.31,73.37,71.37,72.19,26713500.0,71.4015,72.4322,-1.5648,-1.1081,0.4568
2000-08-15,72.0,73.0,71.5,71.62,20357100.0,71.0575,72.3548,-1.4642,-1.0619,0.4024
2000-08-16,71.87,72.25,70.56,71.0,22488100.0,70.9515,72.2258,-1.384,-1.0631,0.3209
2000-08-17,71.12,72.0,70.56,71.56,18056400.0,70.789,72.1624,-1.3086,-1.0072,0.3014
2000-08-18,71.12,71.44,70.0,71.0,27219400.0,70.7235,72.0517,-1.2462,-0.9966,0.2496
2000-08-21,70.69,70.81,70.06,70.62,17059800.0,70.7265,71.9153,-1.1984,-1.0073,0.1912
2000-08-22,70.81,72.44,70.22,71.25,27214100.0,70.839,71.852,-1.1495,-0.9539,0.1956
2000-08-23,70.81,71.12,70.37,70.75,18363400.0,70.986,71.747,-1.1079,-0.9411,0.1667
2000-08-24,70.62,71.19,69.94,71.12,21202700.0,71.0735,71.6873,-1.0645,-0.8909,0.1736
2000-08-25,70.69,71.69,70.56,70.62,26364700.0,71.12,71.5857,-1.0278,-0.8812,0.1466
2000-08-28,70.19,72.12,70.12,71.31,28210800.0,71.195,71.5594,-0.984,-0.8086,0.1754
2000-08-29,71.19,72.75,70.87,70.94,29700100.0,71.3075,71.5004,-0.9416,-0.7719,0.1696
2000-08-30,70.69,70.94,69.69,70.0,26749400.0,71.339,71.3575,-0.9151,-0.8094,0.1057
2000-08-31,70.87,72.0,69.69,69.81,36287700.0,71.317,71.2101,-0.9011,-0.8448,0.0563
2000-09-01,70.0,70.62,69.69,70.19,18814900.0,71.3705,71.113,-0.8873,-0.8325,0.0549
2000-09-05,70.0,70.69,69.81,70.12,25377600.0,71.3765,71.0184,-0.8737,-0.819,0.0547
2000-09-06,70.06,70.69,69.31,69.44,31480400.0,71.1425,70.8681,-0.8696,-0.8533,0.0163
2000-09-07,70.0,72.06,69.44,70.06,55855600.0,70.933,70.7911,-0.8599,-0.821,0.0389
2000-09-08,70.37,70.87,69.19,69.31,28354800.0,70.7675,70.6501,-0.8571,-0.8462,0.011
2000-09-11,69.12,69.69,68.06,68.81,24247600.0,70.586,70.4748,-0.8649,-0.8961,-0.0312
2000-09-12,68.75,69.31,67.62,68.12,23390600.0,70.3825,70.2506,-0.888,-0.9801,-0.0921
