date,1. open,2. high,3. low,4. close,5. volume,SMA,EMA,MACD_Hist,MACD_Signal,MACD
2000-08-03,142.875,145.8125,142.625,145.5937,4607100.0,147.3226,146.0515,-0.8006,0.3997,-0.4009
2000-08-04,146.3125,146.7187,145.4062,146.375,3686600.0,147.2367,146.0823,-0.5769,0.2555,-0.3214
2000-08-07,146.7187,148.4375,146.375,148.125,4159800.0,147.2508,146.2768,-0.2971,0.1812,-0.1159
2000-08-08,147.5,148.8125,147.5,148.6875,3658700.0,147.2773,146.5064,-0.0719,0.1633,0.0913
2000-08-09,149.1406,149.2187,147.375,147.4375,5383800.0,147.193,146.5951,-0.0083,0.1612,0.1529
2000-08-10,147.5312,147.8593,146.2812,146.7187,4193400.0,147.0398,146.6069,-0.0153,0.1574,0.1421
2000-08-11,146.625,148.0,145.5625,147.4062,5089400.0,146.8476,146.683,0.0236,0.1633,0.1868
2000-08-14,147.7812,149.5625,147.0625,149.2812,2966700.0,146.7617,146.9304,0.1649,0.2045,0.3693
2000-08-15,149.3437,149.8125,148.5625,149.1562,5564600.0,146.7312,147.1424,0.2349,0.2632,0.4981
2000-08-16,149.3125,149.9375,147.8437,148.625,5191600.0,146.7344,147.2836,0.2302,0.3208,0.551
2000-08-17,148.6875,150.4375,148.3437,150.1875,5652200.0,146.7125,147.5602,0.312,0.3988,0.7108
2000-08-18,150.375,150.375,149.2187,149.6875,4626400.0,146.8125,147.7628,0.3114,0.4766,0.788
2000-08-21,150.0312,150.7187,149.4062,150.5,2380600.0,146.9953,148.0235,0.3421,0.5622,0.9043
2000-08-22,150.5625,151.3125,150.0937,150.25,3075300.0,147.1422,148.2355,0.3224,0.6428,0.9652
2000-08-23,149.8125,151.2812,149.2812,150.8437,5483200.0,147.3906,148.4839,0.3252,0.7241,1.0493
2000-08-24,151.1562,151.5,150.5,151.3125,4529000.0,147.6875,148.7533,0.3332,0.8074,1.1406
2000-08-25,151.1562,151.625,150.9375,151.25,2822200.0,148.1453,148.9911,0.3094,0.8847,1.1941
2000-08-28,151.25,152.9062,151.25,151.7656,5518700.0,148.5836,149.2553,0.3031,0.9605,1.2636
2000-08-29,151.4375,151.875,150.9062,151.7968,3561900.0,148.9797,149.4974,0.2765,1.0296,1.3061
