date,1. open,2. high,3. low,4. close,5. volume,SMA,EMA,MACD_Signal,MACD,MACD_Hist
2010-08-16,18.45,18.8,18.2616,18.78,485800.0,20.036,19.4753,0.1921,-0.2636,-0.4557
2010-08-17,18.96,19.4,18.78,19.15,447900.0,19.9785,19.4444,0.1035,-0.2509,-0.3544
2010-08-18,19.59,19.59,18.6,18.77,601300.0,19.906,19.3801,0.0291,-0.2684,-0.2975
2010-08-19,18.54,19.25,18.33,18.79,579100.0,19.7955,19.3239,-0.0322,-0.2775,-0.2453
2010-08-20,18.65,19.11,18.5101,19.1,296000.0,19.686,19.3026,-0.0771,-0.2567,-0.1796
2010-08-23,19.09,20.3891,19.0,20.13,1088100.0,19.645,19.3814,-0.0927,-0.1553,-0.0626
2010-08-24,19.25,19.71,18.95,19.2,673100.0,19.5775,19.3641,-0.1039,-0.1483,-0.0444
2010-08-25,19.16,19.98,18.56,19.9,503300.0,19.5365,19.4152,-0.1001,-0.0853,0.0149
2010-08-26,19.89,20.27,19.6,19.75,433800.0,19.5065,19.4471,-0.0895,-0.0469,0.0426
2010-08-27,19.75,19.865,19.5,19.7,379600.0,19.4945,19.4711,-0.0757,-0.0203,0.0554
2010-08-30,19.7,20.19,19.61,19.87,732800.0,19.442,19.5091,-0.0576,0.0144,0.072
2010-08-31,19.66,19.79,19.33,19.48,201100.0,19.3185,19.5064,-0.0441,0.0102,0.0543
2010-09-01,19.62,20.69,19.6,20.45,494900.0,19.278,19.5962,-0.0184,0.0843,0.1027
2010-09-02,20.37,21.24,20.3103,21.06,487100.0,19.3085,19.7356,0.0233,0.19,0.1667
2010-09-03,20.87,21.3,20.66,21.05,434600.0,19.3815,19.8608,0.0726,0.2698,0.1972
2010-09-07,20.61,21.0,20.5,20.54,243400.0,19.4285,19.9255,0.1158,0.2886,0.1728
2010-09-08,20.66,20.95,20.6,20.9,288400.0,19.522,20.0183,0.1584,0.3288,0.1704
2010-09-09,21.0,21.05,20.69,20.71,376200.0,19.6625,20.0842,0.195,0.3413,0.1464
2010-09-10,20.75,20.93,19.76,20.17,386600.0,19.791,20.0924,0.2168,0.3042,0.0874
2010-09-13,20.89,20.8995,20.5,20.72,360800.0,19.911,20.1521,0.2366,0.3155,0.079
2010-09-14,20.54,21.6,20.53,21.12,654700.0,20.028,20.2443,0.2598,0.3527,0.0929
2010-09-15,20.98,22.0,20.79,21.98,684600.0,20.1695,20.4096,0.2971,0.4464,0.1493
2010-09-16,22.15,23.16,20.84,20.94,2684500.0,20.278,20.4601,0.3241,0.4318,0.1077
2010-09-17,21.02,21.32,19.8,20.23,1198500.0,20.35,20.4382,0.331,0.3588,0.0278
2010-09-20,20.67,21.35,20.16,21.055,947500.0,20.4478,20.497,0.3375,0.3633,0.0258
2010-09-21,20.89,21.55,20.67,20.77,796000.0,20.4798,20.523,0.338,0.34,0.002
2010-09-22,20.87,20.95,19.8,19.87,962900.0,20.5133,20.4608,0.3196,0.246,-0.0736
2010-09-23,19.89,20.14,19.5,19.56,668100.0,20.4963,20.375,0.2846,0.1449,-0.1398
2010-09-24,19.95,20.19,19.65,20.1,578900.0,20.5138,20.3488,0.2491,0.107,-0.1421
2010-09-27,20.4,20.81,20.05,20.53,418600.0,20.5553,20.3661,0.2214,0.1105,-0.1109
2010-09-28,21.04,21.49,20.76,21.4,1214500.0,20.6318,20.4645,0.2134,0.1814,-0.032
2010-09-29,21.19,22.03,21.13,21.98,1969300.0,20.7568,20.6089,0.2269,0.2811,0.0541
2010-09-30,22.0,22.1499,20.19,20.405,2195800.0,20.7545,20.5894,0.2276,0.2303,0.0027
2010-10-01,20.69,20.75,20.31,20.6,597700.0,20.7315,20.5904,0.2228,0.2035,-0.0193
2010-10-04,20.43,21.17,20.3,20.99,643600.0,20.7285,20.6285,0.2205,0.2113,-0.0092
2010-10-05,21.15,21.28,21.01,21.12,332000.0,20.7575,20.6753,0.2215,0.2254,0.0039
2010-10-06,21.06,21.258,20.32,20.46,313400.0,20.7355,20.6548,0.2134,0.1812,-0.0322
2010-10-07,20.57,20.64,20.34,20.43,141000.0,20.7215,20.6334,0.1991,0.1421,-0.0571
2010-10-08,20.43,20.79,20.39,20.43,267800.0,20.7345,20.614,0.1813,0.1098,-0.0714
2010-10-11,20.44,20.699,20.07,20.24,171200.0,20.7105,20.5784,0.1587,0.0682,-0.0905
2010-10-12,20.2,20.2829,20.03,20.24,244000.0,20.6665,20.5462,0.1339,0.0347,-0.0991
2010-10-13,20.64,20.85,20.36,20.54,318200.0,20.5945,20.5456,0.1135,0.0321,-0.0814
2010-10-14,21.0,21.0299,20.4,20.75,294800.0,20.585,20.5651,0.1001,0.0464,-0.0537
2010-10-15,20.89,20.9,20.25,20.54,284700.0,20.6005,20.5627,0.0881,0.0403,-0.0478
2010-10-18,20.52,20.6399,20.22,20.23,162800.0,20.5593,20.531,0.0726,0.0104,-0.0622
2010-10-19,20.2,20.4061,20.0,20.05,245200.0,20.5233,20.4852,0.0526,-0.0276,-0.0801
2010-10-20,20.16,20.69,20.04,20.65,312500.0,20.5623,20.5009,0.0402,-0.0091,-0.0493
2010-10-21,20.61,20.95,20.45,20.75,417100.0,20.6218,20.5246,0.0349,0.0134,-0.0214
2010-10-22,20.68,20.93,20.55,20.72,161100.0,20.6528,20.5432,0.0336,0.0286,-0.0051
2010-10-25,20.94,20.98,20.73,20.85,118500.0,20.6688,20.5724,0.037,0.0504,0.0135
2010-10-26,20.8,21.87,20.51,21.36,660900.0,20.6668,20.6474,0.0511,0.1077,0.0566
2010-10-27,21.25,21.38,20.65,21.0,356500.0,20.6178,20.681,0.0654,0.1226,0.0572
2010-10-28,21.39,21.5,20.96,21.19,224200.0,20.657,20.7295,0.0819,0.1481,0.0661
2010-10-29,21.14,21.85,21.052,21.84,280600.0,20.719,20.8353,0.1092,0.2181,0.109
2010-11-01,21.94,22.75,21.31,21.41,455800.0,20.74,20.89,0.1346,0.2363,0.1017
2010-11-02,21.68,21.8792,21.05,21.25,322500.0,20.7465,20.9243,0.1547,0.235,0.0803
2010-11-03,21.28,22.5,21.16,21.77,372600.0,20.812,21.0048,0.1783,0.2729,0.0945
